Film,Director,mubi_rating
Deriva,Andrei Maldonado,
Disparos (Aprender a observar),Rodrigo Hernández y Elpidia Nikou,
Banda,Carlos Armella,
Está todo bien, Tuki Jencquel,['8.1']
"Mujer. Se va la vida, compañera",Mariana X. Rivera,
Tritón, Arturo Villaseñor,[]
Un día de asalto,Diego Rúelas,
Verte partir, Javi Huerta,
La voz del silencio,Jorge Uruchurtu,[]
El Monstruo. Relato de tres sicarios,Luis Carlos Davis,
El camino desierto. Historia de una película independiente,Alex Herrera Castillo,
El corredor sin huellas,Sergio Gurrola,
Golpes duros,José Luis Palma,
Bendito mercado,César García,
La boda de mi mejor amigo,Celso García,[]
Revueltas. La película,Antonio Jiménez,
Inocuo,Fernando Bourget,[]
Crimen por omisión,Jaime Humberto Hermosillo ,[]
Diplodocus,Juan Pablo Rebollar,
Murales viajeros por la paz La ecología y la equidad de Alejandro Quijano,Saudhi Batalla ,
La reina del porno show,Sergio Pérez ,
Ayac nican nemizAquí nadie vivirá para siempre,Carlos Altamirano,[]
Megalodemócrata El arte público de Rafael Lozano-Hemmer ,Benjamin Duffield ,
Internet Junkie,Alexander Katzowicz ,
Fuego adentro (En lo alto del día),Jesús Mario Lozano,
Luna 3 (Lunik 3),Víctor Zavala Kugler ,
La afinadora de árboles ,Natalia Smirnoff,['7.9']
Días de invierno,Jaiziel Hernández Máynez ,[]
El deseo de Ana,Emilo Santoyo,['7.2']
Observar las aves,Andrea Martínez Crowther ,[]
No son horas de olvidar ,David Castañón,
Mi no lugar,Isis Ahumada Monroy ,
Ráfagas serranas,Dalia Reyes,
Serpiente emplumada ,Ricky López Bruni,
Love Me Not,Lluís Miñarro,
La diosa del asfalto ,Julián Hernández,['4.5']
Polvo,José María Yazpik ,
Motel Acqua,Conrado Martínez ,
Siete Filos,Antonio Coello,
Divino amor,Gabriel Mascaro,['6.8']
Frontera,Marcos Almada,
#Mickey,Betzabé García ,
Después del incendio ,Sebastián Padilla ,
Speedy,Rodolfo Castillo-Morales ,
El paraíso de la serpiente ,Bernardo Arellano,[]
Tío Yim,Luna Marán,[]
Un disfraz para Nicolás ,Eduardo Rivero Cruz ,[]
Teléfono,Jerzain Ortega,
Claudia no se quiere morir,Adolfo López Campaña ,
Seré breve al momento de morir ,Juan Briseño,
Tomorrow,Frank Rodríguez,
¿Qué les pasó a las abejas?,"Robin Canul, Adriana Otero ",[]
La piel ajena,Arturo Castelán,
Marioneta (Vagoneros),Álvaro Curiel,[]
Un sentimiento honesto en el calabozo del olvido,Luis Bárcenas,[]
Un verano,Rodrigo Fiallega ,
Un viaje en taxi, Mak CK,
uzi,Pepe Valle,['6.0']
Virgen de San Juan cuatro siglos de milagros, Noé González,
Voces de mixquic,Benito Núñez,
Volverte a Ver (antes Llueve), Carolina Corral,[]
Y si fueras tú, Hugo Carrillo Brumbaugh,[]
yib,Ozan Mermer,
Yo necesito amor,Pepe Valle,[]
Sanguinetti, Christian Díaz Pardo,[]
sanjuaneros,Michael Amici Y Daniel Kandell,
Santa Bárbara, Anaïs Pareto Onghena,
Se busca papá, Javier Colinas,
Se escuchan aullidos,Julio Hernández Cordón,['6.7']
Sendero, Aída Alonso,[]
Será que volverás, Jorge Colón,
Silence Radio, Juliana Fanjul,['6.0']
Sin hijos,Roberto Fiesco,[]
Sin señas particulares,Fernanda Valadez,['7.7']
Sísifos, Nicolás Gutiérrez Wenhammar y Santiago Mohar Volkow ,[]
Soledad, Guillermo A. Argüelles,[]
Somos, Carlos Vázquez,
Sonriendo con el corazón (antes Con olor a Guanajuato), Alex Sánchez,
