N° DE EXP.,TÍTULO DE EXHIBICIÓN,PAÍS(ES) DE PRODUCCIÓN,DIRECTOR,AÑO ,
A-00248,FLORES DE PAPEL,MEX,GABRIEL RETES,1977,
A-00249,MISTERIO,MEX,MARCELA FERNÁNDEZ VIOLANTE,1979,
A-00250,DOÑA MACABRA,MEX,ROBERTO GAVALDÓN,1971,
A-00251,ROSA BLANCA,MEX,ROBERTO GAVALDÓN,1961,
A-00252,LA MUJER DEL PUERTO (1933),MEX,ARCADY BOYTLER,1933,
A-00253,TIEMPO DE LOBOS,MEX,ALBERTO ISAAC,1981,
A-00254,GRAN HOTEL,MEX,MIGUEL M. DELGADO,1944,
A-00255,EL BRAZO FUERTE,MEX,GIOVANNI KORPORAAL,1958,
A-00256,EL ANALFABETO,MEX,MIGUEL M. DELGADO,1960,
A-00257,EL POZO,MEX,RAÚL DE ANDA,1964,
A-00258,RETRATO DE UNA MUJER CASADA,MEX,ALBERTO BOJÓRQUEZ,1979,
A-00259,EL TESTAMENTO,MEX,GONZALO MARTÍNEZ ORTEGA,1979,
A-00260,LA CASTA DIVINA,MEX,JULIÁN PASTOR,1976,
A-00261,LA MUJER PERFECTA,MEX,JUAN MANUEL TORRES,1977,
A-00262,LAS GRANDES AGUAS,MEX,SERVANDO GONZÁLEZ,1978,
A-00263,NOCHE DE RECIÉN CASADOS,MEX,CARLOS ORELLANA,1941,
A-00264,MAMÁ INES,MEX,FERNANDO SOLER,1945,
A-00265,LA DIOSA ARRODILLADA,MEX,ROBERTO GAVALDÓN,1947,
A-00266,TIEMPO DE MORIR,MEX,ARTURO RIPSTEIN,1965,
A-00267,REDES,MEX,FRED ZINNEMANN / EMILIO GÓMEZ MURIEL,1934,
A-00268,RAÍCES          ,MEX,BENITO ALAZRAKI,1953,
A-00269,LA NOCHE DE LOS MAYAS,MEX,CHANO URUETA,1939,
A-00270,LA SOMBRA DEL CAUDILLO,MEX,JULIO BRACHO,1960,
A-00271,UNA SOTA Y UN CABALLO,MEX,RAFAEL BALEDÓN JR.,1981,
A-00272,D.F.,MEX,ROGELIO A. GONZÁLEZ,1980,
A-00273,LA SEDUCCIÓN,MEX,ARTURO RIPSTEIN,1980,
A-00274,EL RECURSO DEL MÉTODO,MEX-FRA-CUBA,MIGUEL LITTIN,1977,
A-00275,RASTRO DE MUERTE,MEX,ARTURO RIPSTEIN,1981,
A-00276,EL MEXICANO,MEX,MARIO HERNÁNDEZ,1976,
A-00277,VÍBORA CALIENTE,MEX,FERNANDO DURÁN,1976,
A-00278,EL DIABÓLICO,MEX,GIOVANNI KORPORAAL,1976,
