N° DE EXP.,TÍTULO DE EXHIBICIÓN,PAÍS(ES) DE PRODUCCIÓN,DIRECTOR,AÑO ,
A-00318,LA DINASTÍA DE LA MUERTE,MEX,RAÚL DE ANDA JR.,1975,
A-00319,EL HOMBRE  ,MEX,RAÚL DE ANDA JR.,1975,
A-00320,CARROÑA,MEX,RAÚL DE ANDA JR.,1975,
A-00321,EL NIÑO Y EL TIBURÓN,MEX,RAÚL DE ANDA JR.,1977,
A-00322,MUERTE EN EL RÍO GRANDE,MEX,RAÚL DE ANDA JR.,1979,
A-00323,TERREMOTOS EN VERACRUZ,MEX,DESCONOCIDO,1920,
A-00324,EL OFICIO MAS ANTIGUO DEL MUNDO,MEX,LUIS ALCORIZA,1968,
A-00325,PARAÍSO,MEX,LUIS ALCORIZA,1969,
A-00326,HONOR MILITAR,MEX,FERNANDO OROZCO Y BERRA,1920,
A-00327,"FÉ, ESPERANZA Y CARIDAD",MEX,ALBERTO BOJÓRQUEZ/LUIS ALCORIZA/JORGE FONS,1972,
A-00328,PRESAGIO,MEX,LUIS ALCORIZA,1974,
A-00329,AMOR A LA VUELTA DE LA ESQUINA,MEX,ALBERTO CORTÉS,1985,
A-00330,LOS ADELANTADOS,MEX,GUSTAVO ALATRISTE,1969,
A-00331,QRR (QUIEN RESULTE RESPONSABLE),MEX,GUSTAVO ALATRISTE,1970,
A-00332,VICTORINO,MEX,GUSTAVO ALATRISTE,1973,
A-00333,ENTRE VIOLETAS,MEX,GUSTAVO ALATRISTE,1973,
A-00334,"MÉXICO, MÉXICO, RA, RA, RA",MEX,GUSTAVO ALATRISTE,1975,
A-00335,LOS JÓVENES AMANTES,MEX-ESP,BENITO ALAZRAKI,1970,
A-00336,LAS TRES PERFECTAS CASADAS,MEX,BENITO ALAZRAKI,1971,
A-00337,FURIAS BAJO EL CIELO,MEX,JULIO ALDAMA,1970,
A-00338,PRIMERO EL DÓLAR,MEX,JULIO ALDAMA,1970,
A-00339,ALSINO Y EL CÓNDOR,MEX-NIC-CUBA-CR,MIGUEL LITTIN,1982,
A-00340,PADRE NUESTRO QUE ESTÁS EN LA TIERRA,MEX,JULIO ALDAMA,1971,
A-00341,CARNE DE HORCA,MEX,JULIO ALDAMA,1972,
A-00342,"LLANTO, RISAS Y NOCAUT",MEX,JULIO ALDAMA,1973,
A-00343,MORIRÁS CON EL SOL,MEX-CR,JULIO ALDAMA,1972,
A-00344,EL PADRINO ES MI COMPADRE,MEX,RAÚL DE ANDA,1974,
A-00345,SUCEDIÓ EN JALISCO,MEX,RAÚL DE ANDA,1970,
A-00346,INDIO,MEX,RODOLFO DE ANDA,1971,
A-00347,CUCHILLO,MEX,RODOLFO DE ANDA,1977,
A-00348,MIL MILLAS AL SUR,MEX,RODOLFO DE ANDA,1978,
A-00349,EN LA TRAMPA,MEX,RAÚL ARAIZA,1978,
A-00350,FUEGO EN EL MAR,MEX,RAÚL ARAIZA,1979,
A-00351,LAGUNILLA MI BARRIO,MEX,RAÚL ARAIZA,1980,
A-00352,EL ÁGUILA DESCALZA,MEX,ALFONSO ARAU,1969,
A-00353,MOJADO POWER,MEX,ALFONSO ARAU,1980,
A-00354,"LA GRILLA (MEXICO, MEXICO, RA, RA, RA II)",MEX,GUSTAVO ALATRISTE,1980,
A-00355,LOS CACIQUES,MEX,JUAN ANDRÉS BUENO,1973,
A-00356,MULATO,MEX-PR,JUAN ANDRÉS BUENO,1972,
A-00357,JUEGO DE MENTIRAS,MEX,ARCHIBALDO BURNS,1972,
A-00358,EL REVENTÓN,MEX,ARCHIBALDO BURNS,1975,
A-00359,EN BUSCA DE UN MURO,MEX,JULIO BRACHO,1973,
A-00360,ANDANTE,MEX,JULIO BRACHO,1967,
A-00361,LA PUERTA/LA MUJER DEL CARNICERO,MEX,LUIS ALCORIZA/ISMAEL RODRÍGUEZ/CHANO URUETA,1968,
A-00362,ARDE BABY ARDE,MEX,JOSE BOLAÑOS,1970,
A-00363,LOS MESES Y LOS DÍAS,MEX,ALBERTO BOJÓRQUEZ,1970,
A-00364,SEMANA SANTA EN ACAPULCO,MEX,LUIS ALCORIZA,1979,
A-00365,HERMANOS DEL VIENTO,MEX,ALBERTO BOJÓRQUEZ,1975,
A-00366,LA LUCHA CON LA PANTERA,MEX,ALBERTO BOJÓRQUEZ,1974,
A-00367,LO MEJOR DE TERESA,MEX,ALBERTO BOJÓRQUEZ,1976,
A-00368,NANÁ,MEX,RAFAEL BALEDÓN/JOSE BOLAÑOS,1980,
A-00369,VÍRGENES DE LA NUEVA OLA,MEX,FERNANDO CORTÉS,1967,
A-00370,EL HOMBRE DEL PUENTE,MEX,RAFAEL BALEDÓN,1975,
A-00371,"YO AMO, TU AMAS, NOSOTROS...",MEX,RAFAEL BALEDÓN,1974,
A-00372,HIJAZO DE MI VIDAZA,MEX,RAFAEL BALEDÓN,1971,
A-00373,LOS HIJOS DE SATANÁS,MEX,RAFAEL BALEDÓN,1972,
A-00374,EL AVISO INOPORTUNO,MEX,RAFAEL BALEDÓN,1968,
A-00375,LOS SIETE PROSCRITOS,MEX,RAFAEL BALEDÓN,1968,
A-00376,CAZADORES DE ESPÍAS,MEX,RAFAEL BALEDÓN,1968,
A-00377,MUÑECAS PELIGROSAS,MEX,RAFAEL BALEDÓN,1967,
A-00378,CON LICENCIA PARA MATAR,MEX,RAFAEL BALEDÓN,1967,
A-00379,EL CUERPAZO DEL DELITO,MEX,RENÉ CARDONA/RAFAEL BALEDÓN/SERGIO VÉJAR,1968,
A-00380,LA PEQUEÑA SEÑORA DE PÉREZ,MEX,RAFAEL BALEDÓN,1978,
A-00381,LA HERMANITA DINAMITA,MEX,RAFAEL BALEDÓN,1969,
A-00382,LA MUÑECA PERVERSA,MEX,RAFAEL BALEDÓN,1969,
A-00383,AQUELLOS AÑOS,MEX,FELIPE CAZALS,1972,
A-00384,ÁNGELES Y QUERUBINES,MEX,RAFAEL CORKIDI,1971,
A-00385,AUANDAR ANAPU,MEX,RAFAEL CORKIDI,1974,
A-00386,AMOK,MEX,ANTONIO MOMPLET,1944,
A-00387,LOS AMIGOS,MEX,ÍCARO CISNEROS,1968,
A-00388,MOJADO DE NACIMIENTO,MEX,ÍCARO CISNEROS,1979,
A-00389,LA CASA PROHIBIDA,MEX,ÍCARO CISNEROS,1981,
A-00390,VIVIDORES DE MUJERES,MEX,ÍCARO CISNEROS,1981,
A-00391,AGENTE 00 SEXY,MEX,FERNANDO CORTÉS,1967,
A-00392,LOS PEPENADORES DE ACA,MEX,ÍCARO CISNEROS,1982,
A-00393,LA MANZANA DE LA DISCORDIA,MEX,FELIPE CAZALS,1968,
A-00394,FAMILIARIDADES,MEX,FELIPE CAZALS,1969,
A-00395,EMILIANO ZAPATA,MEX,FELIPE CAZALS,1970,
A-00396,EL JARDÍN DE TIA ISABEL,MEX,FELIPE CAZALS,1971,
A-00397,LOS QUE VIVEN DONDE SOPLA EL VIENTO SUAVE,MEX,FELIPE CAZALS,1973,
A-00398,UN LATIN LOVER EN ACAPULCO,MEX-PR,FERNANDO CORTÉS,1967,
A-00399,LA GÜERA RODRÍGUEZ,MEX,FELIPE CAZALS,1977,
A-00400,EL AÑO DE LA PESTE,MEX,FELIPE CAZALS,1978,
A-00401,EL GRAN TRIUNFO,MEX,FELIPE CAZALS,1980,
A-00402,LAS SIETE CUCAS,MEX-ESP,FELIPE CAZALS,1981,
A-00403,RIGO ES AMOR,MEX,FELIPE CAZALS,1980,
A-00404,VALENTÍN DE LA SIERRA,MEX,RENÉ CARDONA           ,1967,
A-00405,LA MUJER MURCIÉLAGO,MEX,RENÉ CARDONA,1967,
A-00406,                                         ,MEX,RENÉ CARDONA,1967,
A-00407,LA VENGANZA DE GABINO BARRERA,MEX,RENÉ CARDONA,1967,
A-00408,LAS LUCHADORAS CONTRA EL ROBOT ASESINO,MEX,RENÉ CARDONA,1968,
A-00409,LA HORRIPILANTE BESTIA HUMANA,MEX,RENÉ CARDONA,1968,
A-00410,DUELO EN EL DORADO,MEX,RENÉ CARDONA,1968,
A-00411,LA MAESTRA INOLVIDABLE,MEX,RENÉ CARDONA,1968,
A-00412,SANTO EN EL TESORO DE DRACULA,MEX,RENÉ CARDONA,1968,
A-00413,SANTO CONTRA CAPULINA,MEX,RENÉ CARDONA,1968,
A-00414,EL ASESINO ENMASCARADO,MEX,RENÉ CARDONA,1969,
A-00415,EL PUEBLO DEL TERROR / FELIPE REYES EL JUSTICIERO EN EL PUEBLO DEL TERROR,MEX,RENÉ CARDONA,1969,
A-00416,SANTO CONTRA LOS CAZADORES DE CABEZAS,MEX,RENÉ CARDONA,1969,
A-00417,SANTO CONTRA LOS JINETES DEL TERROR,MEX,RENÉ CARDONA,1970,
A-00418,MANUEL SALDÍVAR EL TEXANO,MEX,RENÉ CARDONA,1970,
A-00419,SIETE MUERTES PARA EL TEXANO,MEX,RENÉ CARDONA,1970,
A-00420,LA MULA DE CULLEN BAKER,MEX,RENÉ CARDONA,1970,
A-00421,CAPULINA CONTRA LOS VAMPIROS,MEX,RENÉ CARDONA,1970,
A-00422,SANTO EN LA VENGANZA DE LA MOMIA,MEX,RENÉ CARDONA,1970,
A-00423,EL DERECHO DE LOS POBRES,MEX-ECU,RENÉ CARDONA,1971,
A-00424,EL INCREIBLE PROFESOR ZOVEK,MEX,RENÉ CARDONA,1971,
A-00425,LA INVASIÓN DE LOS MUERTOS,MEX,RENÉ CARDONA,1971,
A-00426,ZINDY EL NIÑO DE LOS PANTANOS,MEX-GUA,RENÉ CARDONA,1972,
A-00427,ENTRE MONJAS ANDA EL DIABLO,MEX,RENÉ CARDONA,1972,
A-00428,JALISCO NUNCA PIERDE,MEX,RENÉ CARDONA,1972,
A-00429,NOCHE DE MUERTE,MEX,RENÉ CARDONA,1972,
A-00430,EL HIJO DEL PUEBLO,MEX,RENÉ CARDONA,1973,
A-00431,LA ISLA DE LOS HOMBRES SOLOS,MEX,RENÉ CARDONA,1973,
A-00432,EL PEQUEÑO ROBIN HOOD,MEX,RENÉ CARDONA,1973,
A-00433,LOS SUPERVIVIENTES DE LOS ANDES,MEX,RENÉ CARDONA,1975,
A-00434,RAZA DE VÍBORAS,MEX,RENÉ CARDONA,1975,
A-00435,UNA NOCHE EMBARAZOSA,MEX ,RENÉ CARDONA JR.,1976,
A-00436,PRISIÓN DE MUJERES,MEX,RENÉ CARDONA JR.,1976,
A-00437,VISITA AL PASADO,MEX,RENÉ CARDONA,1979,
A-00438,LAS COMPUTADORAS,MEX,RENÉ CARDONA,1980,
A-00439,EL MATRIMONIO ES COMO EL DEMONIO,MEX,RENÉ CARDONA JR.,1967,
A-00440,EL OJO DE VIDRIO,MEX,RENÉ CARDONA JR.,1967,
A-00441,VUELVE EL OJO DE VIDRIO,MEX,RENÉ CARDONA JR.,1967,
A-00442,PELIGRO... MUJERES EN ACCION,MEX,RENÉ CARDONA JR.,1967,
A-00443,COMO ENFRIAR A MI MARIDO,MEX-ECU,RENÉ CARDONA JR.,1967,
A-00444,LAS FIERAS,MEX,RENÉ CARDONA JR.,1968,
A-00445,EL MUNDO DE LOS AVIONES,MEX,RENÉ CARDONA JR.,1968,
A-00446,CLICK FOTÓGRAFO DE MODELOS,MEX,RENÉ CARDONA JR.,1968,
A-00447,ROBINSON CRUSOE,MEX,RENÉ CARDONA JR.,1968,
A-00448,VEINTICUATRO HORAS DE PLACER,MEX-ECU,RENÉ CARDONA JR.,1968,
A-00449,MODISTO DE SEÑORAS,MEX,RENÉ CARDONA JR.,1969,
A-00450,LA MUJER DE ORO,MEX,RENÉ CARDONA JR.,1969,
A-00451,FRAY DON JUAN,MEX,RENÉ CARDONA JR.,1969,
A-00452,ESPÉRAME EN SIBERIA VIDA MÍA,MEX,RENÉ CARDONA JR.,1969,
A-00453,DEPARTAMENTO DE SOLTERO,MEX,RENÉ CARDONA JR.,1969,
A-00454,VANESSA,MEX-ECU,RENÉ CARDONA JR. (M. ZETA),1970,
A-00455,O. K. CLEOPATRA,MEX-VEN,RENÉ CARDONA JR.,1970,
A-00456,"CAÍN, ABEL... Y EL OTRO",MEX-ECU,RENÉ CARDONA JR.,1970,
A-00457,BANG BANG... AL HOYO,MEX,RENÉ CARDONA JR.,1970,
A-00458,LA NOCHE DE LOS MIL GATOS,MEX,RENÉ CARDONA JR.,1970,
A-00459,CÓMO HAY GENTE SINVERGÜENZA,MEX,RENÉ CARDONA JR.,1971,
A-00460,LA MARTINA,MEX,RENÉ CARDONA JR,1971,
A-00461,PELUQUERO DE SEÑORAS,MEX,RENÉ CARDONA JR.,1971,
A-00462,MASAJISTA DE SEÑORAS,MEX,RENÉ CARDONA JR.,1971,
A-00463,UN PIRATA DE DOCE AÑOS,MEX,RENÉ CARDONA JR.,1971,
A-00464,LA ISLA ENCANTADA,MEX,RENÉ CARDONA JR.,1971,
A-00465,LA DISPUTA,MEX,RENÉ CARDONA JR.,1972,
A-00466,LA TIGRESA,MEX,RENÉ CARDONA JR.,1972,
A-00467,LAS VÍBORAS CAMBIAN DE PIEL,MEX,RENÉ CARDONA JR.,1973,
A-00468,EL VALLE DE LOS MISERABLES,MEX,RENÉ CARDONA JR.,1974,
A-00469,VIAJE FANTÁSTICO EN GLOBO,MEX,RENÉ CARDONA JR.,1974,
A-00470,EL REY DE LOS GORILAS,MEX,RENÉ CARDONA JR.,1974,
A-00471,HASTA DESPUÉS DE LA MUERTE,MEX,ERNESTO VOLLRATH,1920,
A-00472,TINTORERA,MEX,RENÉ CARDONA JR.,1976,
A-00473,EL CASTILLO DE LA PUREZA,MEX,ARTURO RIPSTEIN,1972,
A-00474,CARLOS EL TERRORISTA,MEX,RENÉ CARDONA JR.,1977,
A-00475,CICLÓN,MEX-ITA,RENÉ CARDONA JR,1977,
A-00476,"GUYANA, EL CRIMEN DEL SIGLO",MEX,RENÉ CARDONA JR,1979,
A-00477,BURLESQUE,MEX,RENÉ CARDONA JR.,1980,
A-00478,BUENAS Y CON...MOVIDAS,MEX,RENÉ CARDONA JR.,1981,
A-00479,ESCUELA DE PLACER,MEX,RENÉ CARDONA JR.,1981,
A-00480,HUEVOS RANCHEROS,MEX,RENÉ CARDONA JR.,1981,
A-00481,EL MILUSOS,MEX,ROBERTO G. RIVERA,1981,
A-00482,MOTEL,MEX,LUIS MANDOKI,1983,
A-00483,UN ADORABLE SINVERGÚENZA,MEX,JUAN MANUEL SOLER PALAVICINI,1982,
A-00484,CADENA PERPETUA,MEX,ARTURO RIPSTEIN,1978,
A-00485,EL GUARDAESPALDAS,MEX,RAÚL DE ANDA JR.,1980,
A-00486,EL MACHO BIÓNICO,MEX,RODOLFO DE ANDA,1981,
A-00487,EL ESCÁNDALO,MEX,ALFREDO B. CUÉLLAR,1920,
A-00488,LA CASA DE BERNARDA ALBA,MEX,GUSTAVO ALATRISTE,1980,
A-00489,HISTORIA DE UNA MUJER ESCANDALOSA,MEX,GUSTAVO ALATRISTE,1982,
A-00490,CASA DE MUÑECAS PARA ADULTOS,MEX,ALFREDO B. CREVENNA,1986,
A-00491,REY DE LOS TAHURES,MEX,RODOLFO DE ANDA,1979,
A-00492,EL ROBO IMPOSIBLE,MEX,RODOLFO DE ANDA,1980,
A-00493,EL ÍDOLO,MEX,ALFREDO B. CREVENNA,1970,
A-00494,BUSCANDO UN CAMPEÓN,MEX,RODOLFO DE ANDA,1982,
A-00495,MALDITA MISERIA,MEX,JULIO ALDAMA,1980,
A-00496,OJO POR OJO,MEX,JULIO ALDAMA,1979,
A-00497,"ADRIANA DEL RÍO, ACTRIZ",MEX,ALBERTO BOJÓRQUEZ,1978,
A-00498,DOÑA MARIQUITA DE MI CORAZÓN,MEX,JOAQUÍN PARDAVÉ,1952,
A-00499,QUE NO ME BESE EL MARIACHI,MEX,JUAN ANDRÉS BUENO,1980,
A-00500,AVENTURAS DE UN CABALLO BLANCO Y UN NIÑO,MEX,RAFAEL BALEDÓN,1973,
A-00501,EL CURANDERO DEL PUEBLO,MEX-PR,FERNANDO CORTÉS,1967,
A-00502,LA CASA DE LAS MUCHACHAS,MEX,FERNANDO CORTÉS,1968,
A-00503,LAS GOLFAS,MEX,FERNANDO CORTÉS,1969,
A-00504,LOS JUNIORS,MEX,FERNANDO CORTÉS,1969,
A-00505,ENTRE POBRETONES Y RICACHONES,MEX,FERNANDO CORTÉS,1972,
A-00506,POBRE PERO HONRADA,MEX,FERNANDO CORTÉS,1972,
A-00507,LA MADRECITA,MEX,FERNANDO CORTÉS,1973,
A-00508,LA CRIADA BIEN CRIADA,MEX,FERNANDO CORTÉS,1970,
A-00509,LOS BEVERLY DE PERALVILLO,MEX,FERNANDO CORTÉS,1971,
A-00510,"TONTA, TONTA, PERO NO TANTO",MEX,FERNANDO CORTÉS,1971,
A-00511,QUE FAMILIA TAN COTORRA,MEX,FERNANDO CORTÉS,1971,
A-00512,DURO PERO SEGURO,MEX,FERNANDO CORTÉS,1974,
A-00513,LA CRIADA MARAVILLA,MEX,FERNANDO CORTÉS,1978,
A-00514,EL CENTAURO PANCHO VILLA,MEX,ALFONSO CORONA BLAKE,1967,
A-00515,"ALERTA, ALTA TENSIÓN",MEX,ALFONSO CORONA BLAKE,1967,
A-00516,LAS PECADORAS,MEX,ALFONSO CORONA BLAKE,1967,
A-00517,DOS VALIENTES,MEX,ALFONSO CORONA BLAKE,1968,
A-00518,MUJERES DE MEDIANOCHE,MEX,ALFONSO CORONA BLAKE,1968,
A-00519,MÁS ALLÁ DE LA VIOLENCIA,MEX,ALFONSO CORONA BLAKE,1970,
A-00520,NO SE MANDE PROFE,MEX,ALFREDO B. CREVENNA,1967,
A-00521,BLUE DEMON EN PASAPORTE A LA MUERTE,MEX,ALFREDO B. CREVENNA,1967,
A-00522,UNA HORCA PARA EL TEXANO,MEX,ALFREDO B. CREVENNA,1967,
A-00523,ARRIBA LAS MANOS TEXANO,MEX,ALFREDO B. CREVENNA,1967,
A-00524,LOS PROBLEMAS DE MAMÁ,MEX,ALFREDO B. CREVENNA,1968,
A-00525,EL DÍA DE LAS MADRES,MEX,ALFREDO B. CREVENNA,1968,
A-00526,LAS IMPURAS,MEX,ALFREDO B. CREVENNA,1968,
A-00527,LOS ENCAPUCHADOS DE MAZATLÁN,MEX,JESÚS H. ABITIA,1920,
A-00528,CUANDO LA PATRIA LO MANDE,MEX,JUAN CANALS DE HOMES,1920,
A-00529,DOS MUJERES Y UN HOMBRE,MEX,ALFREDO B. CREVENNA,1970,
A-00530,LA SATÁNICA,MEX-GUA,ALFREDO B. CREVENNA,1971,
A-00531,YESENIA,MEX,ALFREDO B. CREVENNA,1971,
A-00532,SANTO Y EL ÁGUILA REAL,MEX,ALFREDO B. CREVENNA,1971,
A-00533,SANTO CONTRA LA MAGIA NEGRA,MEX,ALFREDO B. CREVENNA,1972,
A-00534,LA MUJER DEL DIABLO,MEX-GUA,ALFREDO B. CREVENNA,1972,
A-00535,LAS BESTIAS DEL TERROR,MEX,ALFREDO B. CREVENNA,1972,
A-00536,EL PODER NEGRO,MEX-VEN,ALFREDO B. CREVENNA,1973,
A-00537,ACORRALADOS,MEX,ALFREDO B. CREVENNA,1975,
A-00538,LOS TEMIBLES,MEX,ALFREDO B. CREVENNA,1975,
A-00539,EL CUATRO DEDOS,MEX,ALFREDO B. CREVENNA,1976,
A-00540,JUAN EL ENTERRADOR,MEX,ALFREDO B. CREVENNA,1979,
A-00541,EL PRESO NÚMERO 9,MEX,ALFREDO B. CREVENNA,1979,
A-00542,ALAS ABIERTAS,MEX,ERNESTO VOLLRATH,1921,
A-00543,EL LÁTIGO,MEX,ALFREDO B. CREVENNA,1976,
A-00544,MARÍA ISABEL,MEX,FEDERICO CURIEL,1967,
A-00545,ENIGMA DE MUERTE,MEX,FEDERICO CURIEL,1967,
A-00546,LAS VAMPIRAS,MEX,FEDERICO CURIEL,1967,
A-00547,SUPER COLT 38,MEX,FEDERICO CURIEL,1968,
A-00548,"VALENTÍN ARMIENTA, EL VENGADOR",MEX,FEDERICO CURIEL,1968,
A-00549,QUINTO PATIO,MEX,FEDERICO CURIEL,1969,
A-00550,CRUZ DE AMOR,MEX,FEDERICO CURIEL,1969,
A-00551,SANTO EN LA VENGANZA DE LAS MUJERES VAMPIRO,MEX,FEDERICO CURIEL,1970,
A-00552,SANTO CONTRA LA MAFIA DEL VICIO,MEX,FEDERICO CURIEL,1970,
A-00553,LOS CAMPEONES JUSTICIEROS,MEX,FEDERICO CURIEL,1970,
A-00554,LAS MOMIAS DE GUANAJUATO,MEX,FEDERICO CURIEL,1970,
A-00555,MISIÓN SUICIDA,MEX,FEDERICO CURIEL,1971,
A-00556,VUELVEN LOS CAMPEONES JUSTICIEROS,MEX,FEDERICO CURIEL,1972,
A-.00557,SANTO CONTRA LOS SECUESTRADORES,MEX-ECU,FEDERICO CURIEL,1972,
A-00558,EL CABALLO DEL DIABLO,MEX,FEDERICO CURIEL,1974,
A-00559,DIOS LOS CRÍA,MEX,FEDERICO CURIEL,1975,
A-00560,EL JINETE DE LA MUERTE,MEX,FEDERICO CURIEL,1979,
A-00561,EL ANDARIEGO,MEX,FEDERICO CURIEL,1975,
A-00562,ATACAN LOS KARATECAS,MEX,FEDERICO CURIEL,1977,
A-00563,ÁNGEL NEGRO,MEX-ESP-COL,TULIO DEMICHELI,1977,
A-00564,QUÉ BRAVAS SON LAS SOLTERAS,MEX-PR-ESP,TULIO DEMICHELI,1976,
A-00565,EL NIÑO Y EL LADRÓN,MES-ESP,TULIO DEMICHELI,1964,
A-00566,LOS RENGLONES TORCIDOS DE DIOS,MEX,TULIO DEMICHELI,1981,
A-00567,EL TERRÓN DE AZUCAR/THE BIG CUBE,MEX-EUA,TITO DAVISON,1968,
A-00568,MAMÁ DOLORES,MEX,TITO DAVISON,1970,
A-00569,NATACHA,MEX-PERU,TITO DAVISON,1971,
A-00570,MARÍA         ,MEX-COL,TITO DAVISON,1971,
A-00571,EL AMOR TIENE CARA DE MUJER,MEX,TITO DAVISON,1973,
A-00572,UN AMOR EXTRAÑO,MEX,TITO DAVISON,1974,
A-00573,UN MULATO LLAMADO MARTIN,MEX-PERU,TITO DAVISON,1974,
A-00574,TE QUIERO,MEX,TITO DAVISON,1978,
A-00575,CABALLOS DE ACERO,MEX,MIGUEL M. DELGADO,1967,
A-00576,LOS AMORES DE JUAN CHARRASQUEADO,MEX,MIGUEL M. DELGADO,1967,
A-00577,BAJO EL IMPERIO DEL HAMPA,MEX,MIGUEL M. DELGADO,1967,
A-00578,POR MIS PISTOLAS,MEX,MIGUEL M. DELGADO,1968,
A-00579,COMO PERROS Y GATOS,MEX,MIGUEL M. DELGADO,1968,
A-00580,PANCHO TEQUILA,MEX,MIGUEL M. DELGADO,1968,
A-00581,UN QUIJOTE SIN MANCHA,MEX,MIGUEL M. DELGADO,1969,
A-00582,EL PROFE,MEX,MIGUEL M. DELGADO,1970,
A-00583,SANTO CONTRA LA HIJA DE FRANKENSTEIN,MEX,MIGUEL M. DELGADO,1971,
A-00584,SANTO Y BLUE DEMON CONTRA DRACULA Y EL HOMBRE LOBO,MEX,MIGUEL M. DELGADO,1972,
A-00585,CONSERJE EN CONDOMINIO,MEX,MIGUEL M. DELGADO,1973,
A-00586,SANTO Y BLUE DEMON CONTRA EL DOCTOR FRANKENSTEIN,MEX,MIGUEL M. DELGADO,1973,
A-00587,LA VENGANZA DE LA LLORONA,MEX,MIGUEL M. DELGADO,1974,
A-00588,BELLAS DE NOCHE,MEX,MIGUEL M. DELGADO,1974,
A-00589,LAS FICHERAS,MEX,MIGUEL M. DELGADO,1976,
A-00590,EL MINISTRO Y YO,MEX,MIGUEL M. DELGADO,1975,
A-00591,PATRULLERO 777,MEX,MIGUEL M. DELGADO,1977,
A-00592,EL FAYUQUERO,MEX,MIGUEL M. DELGADO,1978,
A-00593,NOCHE DE JUERGA,MEX,MIGUEL M. DELGADO,1979,
A-00594,EL BARRENDERO,MEX,MIGUEL M. DELGADO,1981,
A-00595,ME CASÉ CON UN CURA,MEX-PR,FERNANDO CORTÉS,1967,
A-00596,SANTO EN ORO NEGRO,MEX,FEDERICO CURIEL,1975,
A-00597,EL HIJO DE ANGELA MARÍA,MEX-PR,FERNANDO CORTÉS,1974,
A-00598,ATAVISMO,MEX,GUSTAVO SAENS DE SICILIA,1923,
A-00599,EL MIEDO NO ANDA EN BURRO,MEX,FERNANDO CORTÉS,1973,
A-00600,EL FUTBOLISTA FENÓMENO ¡GOL!,MEX,FERNANDO CORTÉS,1978,
A-00601,LA COMADRITA,MEX,FERNANDO CORTÉS,1975,
A-00602,LA PRESIDENTA MUNICIPAL,MEX,FERNANDO CORTÉS,1974,
A-00603,LAS MUÑECAS DEL KING KONG,MEX-ESP-COL,ALFREDO B. CREVENNA,1980,
A-00604,EL MURO DE LA TORTILLA,MEX,ALFREDO B. CREVENNA,1980,
A-00605,LA SALVAJE ARDIENTE,MEX,ALFREDO B. CREVENNA,1980,
A-00606,LA ISLA DE RAROTONGA,MEX,ALFREDO B. CREVENNA,1979,
A-00607,ILEGALES Y MOJADOS,MEX,ALFREDO B. CREVENNA,1978,
A-00608,PENTHOUSE DE LA MUERTE,MEX-GUA,ALFREDO B. CREVENNA,1977,
A-00609,DE PULQUERO A MILLONARIO,MEX,ALFREDO B. CREVENNA,1980,
A-00610,EL OMBLIGO DE LA LUNA,MEX,JORGE PRIOR,1985,
A-00611,ME LLEVA LA TRISTEZA,MEX,ALFREDO B. CREVENNA,1981,
A-00612,AMNESIA,MEX,ERNESTO VOLLRATH,1921,
A-00613,PUERTO MALDITO,MEX,ALFREDO B. CREVENNA,1977,
A-00614,CONTACTO CHICANO,MEX,FEDERICO CURIEL,1979,
A-00615,LA SANGRE DE NUESTRA RAZA,MEX,FEDERICO CURIEL,1980,
A-00616,AY CHIHUAHUA NO TE RAJES!  ,MEX,FEDERICO CURIEL,1980,
A-00617,LAS MUSIQUERAS,MEX,FEDERICO CURIEL,1981,
A-00618,LA SILLA VACÍA,MEX,FEDERICO CURIEL,1981,
A-00619,EL CANTO DE LOS HUMILDES,MEX,FEDERICO CURIEL,1980,
A-00620,LOS CUATES DE LA ROSENDA,MEX,FEDERICO CURIEL,1982,
A-00621,PRESOS SIN CULPA,MEX,FEDERICO CURIEL,1980,
A-00622,CORAZÓN SALVAJE,MEX-ARG,TITO DAVISON,1967,
A-00623,JUAN ARMENTA EL REPATRIADO,MEX,JOSÉ DÍAZ MORALES,1967,
A-00624,LAS AMIGUITAS DE LOS RICOS,MEX,JOSÉ DÍAZ MORALES,1967,
A-00625,UN NUEVO MODO DE AMAR,MEX,JOSÉ DÍAZ MORALES,1967,
A-00626,NO JUZGARÁS A TUS PADRES,MEX,JOSÉ DÍAZ MORALES,1967,
A-00627,EL AMOR Y ESAS COSAS,MEX,JOSÉ DÍAZ MORALES,1967,
A-00628,PRÉSTAME A TU MUJER,MEX,JOSÉ DÍAZ MORALES,1967,
A-00629,LAS INFIELES,MEX,JOSÉ DÍAZ MORALES,1968,
A-00630,ESTA NOCHE SÍ,MEX,JOSÉ DÍAZ MORALES,1968,
A-00631,EL MANANTIAL DEL AMOR,MEX,JOSÉ DÍAZ MORALES,1968,
A-00632,"MUCHACHAS, MUCHACHAS, MUCHACHAS",MEX,JOSÉ DÍAZ MORALES,1968,
A-00633,LA HORA DESNUDA,MEX,JOSÉ DÍAZ MORALES,1969,
A-00634,LA AMANTE PERFECTA,MEX,JOSÉ DÍAZ MORALES,1969,
A-00635,LAS CADENAS DEL MAL,MEX,JOSÉ DÍAZ MORALES,1969,
A-00636,HA ENTRADO UNA MUJER,MEX,JOSÉ DÍAZ MORALES,1969,
A-00637,"BESOS, BESOS Y MAS BESOS",MEX,JOSÉ DÍAZ MORALES,1969,
