titleId,title,averageRating,numVotes
tt0026685,La marca del vampiro,6.3,5178.0
tt0026687,Martín Garatuza,0.0,
tt0026690,María Elena,8.2,6.0
tt0026696,Melodía del corazón,0.0,
tt0026720,El rayo,6.7,167.0
tt0026725,Los miserables,7.7,3699.0
tt0026739,La voz que acusa,6.8,1104.0
tt0026752,Motín a bordo,7.6,23636.0
tt0026772,Tarzan y el idolo perdido,5.3,404.0
tt0026775,La noche azul,6.2,268.0
tt0026778,Una noche en la opera,7.8,33498.0
tt0026822,Una primavera más,6.8,121.0
tt0026861,La venganza del presidiario,5.7,53.0
tt0026867,El imperio fantasma,6.2,505.0
tt0026874,Tres mujeres,6.7,54.0
tt0026893,Private Worlds,6.4,360.0
tt0026901,Esposados y desposados,5.8,170.0
tt0026922,Una cita peligrosa,6.6,895.0
tt0026925,Caballeros revoltosos,6.8,651.0
tt0026942,Roberta,7.0,3475.0
tt0026980,La sombra de la duda,6.3,279.0
tt0026983,La diosa del fuego,6.4,1785.0
tt0027029,Agente especial,6.4,1139.0
tt0027040,Estrella de medianoche,6.7,1554.0
tt0027097,Los tres cerveceros,8.1,858.0
tt0027110,Times Square Lady,5.9,200.0
tt0027125,Sombrero de copa,7.7,19723.0
tt0027136,El triunfo de Sherlock Holmes,5.8,663.0
tt0027156,Bajo la luz de las pampas,5.9,118.0
tt0027215,La viuda de Montecarlo,5.8,78.0
tt0027240,¡Vámonos con Pancho Villa!,7.7,766.0
tt0027254,Los dragones suicidas,6.1,409.0
tt0027277,Allá en el Rancho Grande,6.8,173.0
tt0027301,Un hormiguero en la despensa,7.9,732.0
tt0027302,Todo vale,6.2,465.0
tt0027336,Los bajos fondos,7.5,3426.0
tt0027338,El baúl macabro,5.7,49.0
tt0027357,Aquellos ojos morenos,6.5,1015.0
tt0027365,La moneda rota,5.7,77.0
tt0027367,La legión negra,6.9,3517.0
tt0027376,Un par de gitanos,6.6,2135.0
tt0027387,Nacida para el baile,6.6,1725.0
tt0027395,Buen partido para dos,5.7,663.0
tt0027429,Zarpas de terciopelo,6.0,592.0
tt0027438,La carga de los 600 dragones,7.0,5184.0
tt0027447,Cielito lindo,7.0,18.0
tt0027452,La mano que aprieta,5.3,110.0
tt0027477,Patrulla contra el crimen,5.5,61.0
tt0027481,Crimen y pasión,5.6,270.0
tt0027488,Profanadores de tumbas,4.6,244.0
tt0027499,El buscador de horizontes,5.6,306.0
tt0027502,Joba la ciudad perdida,6.3,133.0
tt0027510,Última juventud,7.1,24.0
tt0027527,Hoyuelos,6.5,933.0
tt0027529,Desorden en la corte,7.9,2160.0
tt0027532,Fuego otoñal,7.8,9554.0
tt0027545,La hija de Drácula,6.3,7312.0
tt0027552,Drama jocoso,7.4,1882.0
tt0027590,Cocktail de celos,6.1,104.0
tt0027594,Exclusive Story,6.0,182.0
tt0027630,Siga a la flota,7.1,4519.0
tt0027652,Furia,7.9,12995.0
tt0027698,El gran Ziegfeld,6.7,8445.0
tt0027752,El hijo único,7.7,3767.0
tt0027774,El monstruo de los mares,6.2,45.0
tt0027796,Intermezzo,6.5,1341.0
tt0027800,El rayo invisible,6.5,2686.0
tt0027803,Irma la mala,0.0,
tt0027805,Tres en un edén,5.5,718.0
tt0027847,El rey se divierte,6.3,228.0
tt0027884,Los enredos de una dama,7.8,8413.0
tt0027948,"María Estuardo, reina de Escocia",6.3,2653.0
tt0027950,Más allá de la muerte,0.0,
tt0027950,Azucena,0.0,
tt0027950,Más fuerte que la muerte,0.0,
tt0027977,Tiempos modernos,8.5,245665.0
tt0027996,El secreto de vivir,7.8,22129.0
tt0027998,Las mujeres mandan,0.0,
tt0028010,Porfiada Irene,8.0,24808.0
tt0028045,Novillero,0.0,
tt0028056,El Viejo Haragán,7.0,45.0
tt0028070,Dos pares de mellizos,7.3,3293.0
tt0028076,Un latoso en el Pullman,7.6,620.0
tt0028096,La selva petrificada,7.5,14235.0
tt0028108,La jornada trágica,6.8,2301.0
tt0028109,Porky Aviador,6.5,245.0
tt0028124,"Porky, el Cerdo que hacía Llover",6.9,237.0
tt0028165,Pescados,7.0,775.0
tt0028165,Redes,7.0,775.0
tt0028201,La novela de un tramposo,7.6,2349.0
tt0028205,Rosario,0.0,
tt0028212,Sabotaje,7.0,17579.0
tt0028216,San Francisco,7.2,5784.0
tt0028231,Agente secreto,6.4,8658.0
tt0028241,Los misterios del barrio chino,4.5,277.0
tt0028246,En el umbral de la muerte,5.9,73.0
tt0028269,Ansia de vivir,6.6,941.0
tt0028287,Sor Juana Inés de la Cruz,6.4,10.0
tt0028313,El enemigo del hombre o La vida trágica de Luis Pasteur,7.3,2915.0
tt0028328,El superloco,4.7,37.0
tt0028333,Ritmo loco,7.5,14030.0
tt0028345,La fuga de Tarzán,6.5,3454.0
tt0028356,Infamia,7.4,2849.0
tt0028358,El mundo en guerra,6.6,8447.0
tt0028358,Lo que vendrá,6.6,8447.0
tt0028360,El hombre número 13,5.8,133.0
tt0028367,Tres desalmados,7.3,835.0
tt0028438,Un gran amor de Beethoven,6.8,297.0
tt0028444,El imperio submarino,4.6,607.0
tt0028445,Una salida al campo,7.5,6669.0
tt0028478,A mis verdugos castigué,6.6,2788.0
tt0028486,El regalo de bodas,6.2,671.0
tt0028501,Colmillo Blanco,6.1,67.0
tt0028503,Cruzada Heroica,4.9,28.0
tt0028504,Soy un piel roja,6.9,581.0
tt0028517,Una mujer se rebela,6.4,858.0
tt0028527,Tuya si la quieres,6.4,177.0
tt0028551,La Adelita,7.2,7.0
tt0028552,Adiós Nicanor,6.2,21.0
tt0028564,La isla de los condenados,5.6,245.0
tt0028567,La coartada,6.7,226.0
tt0028573,Almas rebeldes,5.8,28.0
tt0028592,Alas sobre el Atlántico,4.6,90.0
tt0028600,Retorno a los bosques,7.0,555.0
tt0028605,Bajo el cielo de México,0.0,
tt0028632,El castigo del dictador,7.5,349.0
tt0028637,La sombra del escorpión,5.0,188.0
tt0028683,La dama de las Camelias,7.3,8265.0
tt0028684,Canción del alma,0.0,
tt0028691,Capitanes Valientes,7.9,10189.0
tt0028708,Campeón olímpico,7.0,1752.0
tt0028719,La chica del trapecio,6.0,51.0
tt0028739,María Walewska,6.5,1582.0
tt0028751,Las cuatro milpas,5.2,7.0
tt0028770,Carne de contrabando,6.6,500.0
tt0028776,El piloto X,5.1,189.0
tt0028806,Doble o nada,6.4,265.0
tt0028814,El campeón invencible,5.7,49.0
tt0028818,El borde del mundo,7.3,1855.0
tt0028845,Rumbo a Shangai,5.7,72.0
tt0028857,La casa del malvado,5.8,16.0
tt0028891,El misterio del camerino,6.0,360.0
tt0028944,Madre tierra,7.5,5151.0
tt0028950,La gran ilusión,8.1,37383.0
tt0028960,"Golpes, quejidos y gemidos",7.7,681.0
tt0029004,Caballistas de la sierra,5.9,200.0
tt0029012,Crimen en Hollywood,6.0,157.0
tt0029019,El hijo del héroe,5.7,194.0
tt0029040,Quiero ser como papa,6.2,283.0
